artist_id,artist_name,artist_origin_country,artist_image_url,artist_biography
001,Aphex Twin,United Kingdom,https://lannerchronicle.wordpress.com/wp-content/uploads/2022/05/aphex-twin-by-jw-steenmeijer.jpg,"Aphex Twin is the stage name of British electronic musician Richard D. James, known for influential work spanning ambient, techno, IDM and experimental electronic music."
002,Boards of Canada,United Kingdom,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMLQNwJTTDnBfuWQHaU530gYQ1DirDN8FySHdvM4n_g7LMwdhyuykz7Ho&s=10,"Boards of Canada are a Scottish electronic duo known for nostalgic melodies, hazy analogue textures and atmospheric productions that became highly influential in IDM and ambient music."
003,Autechre,United Kingdom,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTadvPkAXN8R1GKMnFvWhNGJ30oyeUmGNLsBaJFckDTLQ&s=10,"Autechre are a British electronic duo whose complex rhythms, abstract sound design and algorithmic approach have made them central figures in experimental electronic music."
004,DJ Shadow,United States,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3KAXa37SNpg8nwiKFa-6F_KkgL7qOAjdXTtTYBs508jSEkEECOutd_uBg8WtA0FapipBaafauT9useCMUiCMfT7f4PbeFlRQ964AREhcIDD3keTAD4UR4_EHePSFhAw&s=10&ec=121902074,"DJ Shadow is an American producer and DJ known for sample-based instrumental hip-hop, cinematic beatmaking and the landmark album Endtroducing....."
005,Daft Punk,France,https://upload.wikimedia.org/wikipedia/commons/a/af/Daft_Punk_2008.jpg,"Daft Punk were a French electronic duo whose blend of house, disco, funk and pop helped shape modern dance music and global electronic culture."
006,Massive Attack,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/3/3d/Massive_Attack%2C_Saint-Petersburg%2C_2010.jpg,"Massive Attack are a British group from Bristol widely associated with the development of trip-hop, combining electronic production, dub, hip-hop and soulful vocals."
007,The Chemical Brothers,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/4/4d/Chemical_Brothers_Live.jpg,"The Chemical Brothers are a British electronic duo known for big beat, psychedelic production and energetic dance tracks that brought electronic music to a wider rock and pop audience."
008,Portishead,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/9/9c/Portishead_-_Primavera19_%2848986293137%29_%28cropped%29.jpg,"Portishead are a British band from Bristol known for dark, cinematic trip-hop built around haunting vocals, hip-hop-inspired beats and atmospheric production."
009,Moby,United States,https://upload.wikimedia.org/wikipedia/commons/0/06/Moby_1.jpg,"Moby is an American musician and producer known for electronic music that blends techno, ambient, rock, gospel and pop influences."
010,The Prodigy,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/1/1e/Prodigy-rock-am-ring-2009.jpg,"The Prodigy are a British electronic group known for high-energy rave, breakbeat and big beat music that crossed electronic dance culture with punk attitude."
011,Air,France,https://upload.wikimedia.org/wikipedia/commons/4/4d/Air_%28French_band%29.jpg,"Air are a French duo known for elegant electronic pop, downtempo grooves, vintage synthesizers and cinematic arrangements."
